"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: fillByte","Param: preparation","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,83.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,125.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,167.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.99","sample",1,1,375.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.999","sample",1,1,875.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.9999","sample",1,1,7872.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p1.00","sample",1,1,1429504.000000,NaN,"ns/op",1024,1,17,copyin,50
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment","sample",1,3488977,82.781796,1.549745,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,83.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,84.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,84.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.99","sample",1,1,84.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.999","sample",1,1,791.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.9999","sample",1,1,7416.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p1.00","sample",1,1,1548288.000000,NaN,"ns/op",1024,1,17,copyin,512
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment","sample",1,3028432,94.117036,2.261426,"ns/op",1024,1,17,copyin,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,17,copyin,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,83.000000,NaN,"ns/op",1024,1,17,copyin,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,125.000000,NaN,"ns/op",1024,1,17,copyin,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,125.000000,NaN,"ns/op",1024,1,17,copyin,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.99","sample",1,1,125.000000,NaN,"ns/op",1024,1,17,copyin,1024
