"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,1517568.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,4099034,121.308726,1.223954,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,83.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,208.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,333.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,625.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,1082.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,7912.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,1384448.000000,NaN,"ns/op",1024,1,copyout,512
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,4084812,133.755573,2.442850,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,84.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,209.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,334.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,625.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,1166.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,8160.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,2097152.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,4273892,236.465766,0.525034,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,41.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,208.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,333.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,375.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,667.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,1962.494000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11389.313600,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,116096.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,3288375,627.961292,3.600920,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,166.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,625.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,709.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,792.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,1000.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,5120.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,13797.196800,NaN,"ns/op",1024,1,copyout,16384
